Data Time,X,Y,Z
2016/01/27 18:40:34.82,32784,30721,24929
2016/01/27 18:40:34.84,32816,30769,24849
2016/01/27 18:40:34.86,32800,30737,24913
2016/01/27 18:40:34.88,32800,30737,24945
2016/01/27 18:40:34.90,32784,30705,24801
2016/01/27 18:40:34.92,32816,30673,24833
2016/01/27 18:40:34.94,32784,30753,24945
2016/01/27 18:40:34.96,32784,30785,24945
2016/01/27 18:40:34.98,32768,30737,24897
2016/01/27 18:40:35.00,32768,30769,24897
2016/01/27 18:40:35.02,32800,30737,24897
2016/01/27 18:40:35.04,32800,30721,24897
2016/01/27 18:40:35.06,32832,30705,24833
2016/01/27 18:40:35.08,32816,30689,24833
2016/01/27 18:40:35.10,32800,30721,24833
2016/01/27 18:40:35.12,32784,30753,24881
2016/01/27 18:40:35.14,32784,30801,24897
2016/01/27 18:40:35.16,32800,30753,24897
2016/01/27 18:40:35.18,32832,30753,24945
2016/01/27 18:40:35.20,32816,30753,24913
2016/01/27 18:40:35.22,32800,30689,24897
2016/01/27 18:40:35.24,32832,30753,24945
2016/01/27 18:40:35.26,32816,30689,24897
2016/01/27 18:40:35.28,32832,30737,24865
2016/01/27 18:40:35.30,32800,30737,24881
2016/01/27 18:40:35.32,32816,30721,24897
2016/01/27 18:40:35.34,32800,30705,24913
2016/01/27 18:40:35.36,32832,30721,24945
2016/01/27 18:40:35.38,32816,30721,24913
2016/01/27 18:40:35.40,32832,30689,24897
2016/01/27 18:40:35.42,32848,30753,24913
2016/01/27 18:40:35.44,32848,30737,24897
2016/01/27 18:40:35.46,32816,30737,24897
2016/01/27 18:40:35.48,32864,30721,24913
2016/01/27 18:40:35.50,32832,30705,24849
2016/01/27 18:40:35.52,32848,30721,24897
2016/01/27 18:40:35.54,32816,30721,24897
2016/01/27 18:40:35.56,32848,30689,24929
2016/01/27 18:40:35.58,32832,30705,24929
2016/01/27 18:40:35.60,32848,30689,24897
2016/01/27 18:40:35.62,32848,30689,24897
2016/01/27 18:40:35.64,32864,30673,24849
2016/01/27 18:40:35.66,32832,30705,24881
2016/01/27 18:40:35.68,32848,30673,24881
2016/01/27 18:40:35.70,32848,30721,24913
2016/01/27 18:40:35.72,32848,30721,24865
2016/01/27 18:40:35.74,32864,30737,24929
2016/01/27 18:40:35.76,32880,30737,24945
2016/01/27 18:40:35.78,32864,30705,24929
2016/01/27 18:40:35.80,32880,30705,24913
2016/01/27 18:40:35.82,32832,30737,24961
2016/01/27 18:40:35.84,32880,30657,24833
2016/01/27 18:40:35.86,32880,30657,24849
2016/01/27 18:40:35.88,32864,30657,24929
2016/01/27 18:40:35.90,32864,30689,24945
2016/01/27 18:40:35.92,32880,30689,24881
2016/01/27 18:40:35.94,32848,30721,24865
2016/01/27 18:40:35.96,32816,30737,24849
2016/01/27 18:40:35.98,32848,30689,24881
2016/01/27 18:40:36.00,32848,30705,24929
2016/01/27 18:40:36.02,32880,30657,24897
2016/01/27 18:40:36.04,32880,30657,24865
2016/01/27 18:40:36.06,32896,30657,24929
2016/01/27 18:40:36.08,32864,30689,24913
2016/01/27 18:40:36.10,32864,30689,24865
2016/01/27 18:40:36.12,32928,30705,24945
2016/01/27 18:40:36.14,32896,30737,24977
2016/01/27 18:40:36.16,32864,30689,24913
2016/01/27 18:40:36.18,32880,30737,24913
2016/01/27 18:40:36.20,32880,30689,24913
2016/01/27 18:40:36.22,32848,30673,24865
2016/01/27 18:40:36.24,32864,30689,24833
2016/01/27 18:40:36.26,32864,30673,24849
2016/01/27 18:40:36.28,32864,30657,24913
2016/01/27 18:40:36.30,32880,30705,24961
2016/01/27 18:40:36.32,32896,30641,24929
2016/01/27 18:40:36.34,32896,30641,24929
2016/01/27 18:40:36.36,32896,30657,24929
2016/01/27 18:40:36.38,32880,30657,24929
2016/01/27 18:40:36.40,32896,30657,24929
2016/01/27 18:40:36.42,32848,30657,24929
2016/01/27 18:40:36.44,32848,30641,24913
2016/01/27 18:40:36.46,32864,30657,24913
2016/01/27 18:40:36.48,32864,30673,24913
2016/01/27 18:40:36.50,32864,30657,24929
2016/01/27 18:40:36.52,32848,30673,24913
2016/01/27 18:40:36.54,32848,30673,24945
2016/01/27 18:40:36.56,32848,30625,24849
2016/01/27 18:40:36.58,32848,30657,24913
2016/01/27 18:40:36.60,32864,30657,24945
2016/01/27 18:40:36.62,32848,30625,24929
2016/01/27 18:40:36.64,32848,30625,24961
2016/01/27 18:40:36.66,32864,30641,24945
2016/01/27 18:40:36.68,32832,30641,24945
2016/01/27 18:40:36.70,32896,30625,24913
2016/01/27 18:40:36.72,32848,30657,24945
2016/01/27 18:40:36.74,32864,30641,24913
2016/01/27 18:40:36.76,32864,30577,24865
2016/01/27 18:40:36.78,32848,30561,24929
2016/01/27 18:40:36.80,32848,30593,25009
2016/01/27 18:40:36.82,32864,30609,24929
2016/01/27 18:40:36.84,32848,30625,24865
2016/01/27 18:40:36.86,32816,30641,24849
2016/01/27 18:40:36.88,32832,30657,24865
2016/01/27 18:40:36.90,32864,30593,24897
2016/01/27 18:40:36.92,32832,30577,24897
2016/01/27 18:40:36.94,32832,30577,24897
2016/01/27 18:40:36.96,32832,30577,24913
2016/01/27 18:40:36.98,32832,30609,24945
2016/01/27 18:40:37.00,32864,30593,24929
2016/01/27 18:40:37.02,32816,30609,24945
2016/01/27 18:40:37.04,32800,30641,24977
2016/01/27 18:40:37.06,32816,30593,24929
2016/01/27 18:40:37.08,32800,30577,24913
2016/01/27 18:40:37.10,32800,30625,24961
2016/01/27 18:40:37.12,32800,30625,24929
2016/01/27 18:40:37.14,32753,30609,24897
2016/01/27 18:40:37.16,32737,30609,24897
2016/01/27 18:40:37.18,32768,30593,24881
2016/01/27 18:40:37.20,32753,30625,24913
2016/01/27 18:40:37.22,32768,30609,24929
2016/01/27 18:40:37.24,32737,30593,24929
2016/01/27 18:40:37.26,32768,30609,24929
2016/01/27 18:40:37.28,32768,30657,24929
2016/01/27 18:40:37.30,32753,30609,24881
2016/01/27 18:40:37.32,32721,30641,24881
2016/01/27 18:40:37.34,32737,30609,24929
2016/01/27 18:40:37.36,32753,30625,24913
2016/01/27 18:40:37.38,32721,30625,24945
2016/01/27 18:40:37.40,32737,30625,24913
2016/01/27 18:40:37.42,32737,30625,24913
2016/01/27 18:40:37.44,32737,30609,24913
2016/01/27 18:40:37.46,32705,30625,24929
2016/01/27 18:40:37.48,32721,30657,24897
2016/01/27 18:40:37.50,32737,30625,24865
2016/01/27 18:40:37.52,32737,30641,24929
2016/01/27 18:40:37.54,32673,30673,24897
2016/01/27 18:40:37.56,32705,30641,24865
2016/01/27 18:40:37.58,32689,30673,24913
